,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
251,,Italy,Upper,5635.0,4156.0,2926.0,2543.0,2259.0,1921.0
252,JAM,Jamaica,Lower,1525.0,1359.0,1096.0,786.0,650.0,414.0
253,,Jamaica,Median,1791.0,1563.0,1269.0,935.0,843.0,631.0
254,,Jamaica,Upper,2138.0,1812.0,1469.0,1124.0,1121.0,989.0
255,JPN,Japan,Lower,7623.0,6619.0,5216.0,4055.0,3389.0,2731.0
256,,Japan,Median,7732.0,6771.0,5316.0,4080.0,3461.0,2834.0
257,,Japan,Upper,7914.0,6886.0,5420.0,4208.0,3535.0,3010.0
258,JOR,Jordan,Lower,3821.0,4128.0,3777.0,3272.0,3188.0,2707.0
259,,Jordan,Median,4101.0,4421.0,4103.0,3660.0,3788.0,3670.0
260,,Jordan,Upper,4381.0,4745.0,4469.0,4101.0,4534.0,4966.0
261,KAZ,Kazakhstan,Lower,19185.0,12267.0,8509.0,8607.0,7681.0,4763.0
262,,Kazakhstan,Median,21046.0,13479.0,9335.0,9324.0,7944.0,5528.0
263,,Kazakhstan,Upper,23123.0,14854.0,10178.0,10084.0,8206.0,6409.0
264,KEN,Kenya,Lower,93379.0,105792.0,113417.0,99801.0,74840.0,56874.0
265,,Kenya,Median,99742.0,113577.0,122565.0,111190.0,88167.0,74429.0
266,,Kenya,Upper,106616.0,122028.0,133170.0,123633.0,103169.0,97109.0
267,KIR,Kiribati,Lower,214.0,179.0,158.0,105.0,166.0,106.0
268,,Kiribati,Median,248.0,204.0,181.0,124.0,214.0,162.0
269,,Kiribati,Upper,288.0,233.0,207.0,146.0,274.0,250.0
270,KWT,Kuwait,Lower,723.0,465.0,555.0,505.0,742.0,542.0
271,,Kuwait,Median,749.0,479.0,573.0,518.0,763.0,598.0
272,,Kuwait,Upper,773.0,494.0,588.0,535.0,783.0,656.0
273,KGZ,Kyrgyzstan,Lower,7810.0,6522.0,4763.0,3933.0,4111.0,3251.0
274,,Kyrgyzstan,Median,8918.0,7336.0,5380.0,4113.0,4229.0,3644.0
275,,Kyrgyzstan,Upper,10143.0,8276.0,5961.0,4276.0,4344.0,4145.0
276,LAO,Lao People's Democratic Republic,Lower,25688.0,23914.0,17398.0,13828.0,11856.0,8395.0
277,,Lao People's Democratic Republic,Median,28536.0,26549.0,19596.0,15853.0,14376.0,11613.0
278,,Lao People's Democratic Republic,Upper,31764.0,29480.0,22154.0,18253.0,17349.0,15858.0
279,LVA,Latvia,Lower,854.0,506.0,304.0,280.0,195.0,96.0
280,,Latvia,Median,883.0,526.0,321.0,294.0,207.0,129.0
281,,Latvia,Upper,916.0,548.0,336.0,312.0,220.0,177.0
282,LBN,Lebanon,Lower,1856.0,1579.0,1038.0,685.0,331.0,471.0
283,,Lebanon,Median,2066.0,1784.0,1226.0,881.0,506.0,835.0
284,,Lebanon,Upper,2311.0,2019.0,1453.0,1134.0,759.0,1416.0
285,LSO,Lesotho,Lower,4293.0,5163.0,6352.0,6026.0,4975.0,4289.0
